Elapsed,Time,User Path,Virtual User ID,Parent,Element,Response time,Success,Population,Zone
1346,2023-03-02T10:46:02.107-06:00,"EP_Standard_C4484572",0-9,"Actions","START",0,yes,"EP","Default zone"
1434,2023-03-02T10:46:02.195-06:00,"EP_Standard_C4484572",0-1,"Actions","START",0,yes,"EP","Default zone"
1434,2023-03-02T10:46:02.195-06:00,"EP_Standard_C4484572",0-6,"Actions","START",0,yes,"EP","Default zone"
1440,2023-03-02T10:46:02.201-06:00,"EP_Standard_C4484572",0-2,"Actions","START",0,yes,"EP","Default zone"
1458,2023-03-02T10:46:02.219-06:00,"EP_Standard_C4484572",0-0,"Actions","START",0,yes,"EP","Default zone"
1458,2023-03-02T10:46:02.219-06:00,"EP_Standard_C4484572",0-3,"Actions","START",0,yes,"EP","Default zone"
1497,2023-03-02T10:46:02.258-06:00,"EP_Standard_C4484572",0-7,"Actions","START",0,yes,"EP","Default zone"
1568,2023-03-02T10:46:02.329-06:00,"EP_Standard_C4484572",0-5,"Actions","START",0,yes,"EP","Default zone"
1583,2023-03-02T10:46:02.344-06:00,"EP_Standard_C4484572",0-8,"Actions","START",0,yes,"EP","Default zone"
1599,2023-03-02T10:46:02.360-06:00,"EP_Standard_C4484572",0-4,"Actions","START",0,yes,"EP","Default zone"
2896,2023-03-02T10:46:03.657-06:00,"EP_Standard_C4484572",0-6,"Actions","EP_Landing",987,yes,"EP","Default zone"
2901,2023-03-02T10:46:03.662-06:00,"EP_Standard_C4484572",0-2,"Actions","EP_Landing",997,yes,"EP","Default zone"
2903,2023-03-02T10:46:03.664-06:00,"EP_Standard_C4484572",0-9,"Actions","EP_Landing",1036,yes,"EP","Default zone"
2903,2023-03-02T10:46:03.664-06:00,"EP_Standard_C4484572",0-1,"Actions","EP_Landing",1094,yes,"EP","Default zone"
2903,2023-03-02T10:46:03.664-06:00,"EP_Standard_C4484572",0-3,"Actions","EP_Landing",941,yes,"EP","Default zone"
2904,2023-03-02T10:46:03.665-06:00,"EP_Standard_C4484572",0-5,"Actions","EP_Landing",831,yes,"EP","Default zone"
2904,2023-03-02T10:46:03.665-06:00,"EP_Standard_C4484572",0-8,"Actions","EP_Landing",777,yes,"EP","Default zone"
2905,2023-03-02T10:46:03.666-06:00,"EP_Standard_C4484572",0-0,"Actions","EP_Landing",934,yes,"EP","Default zone"
2905,2023-03-02T10:46:03.666-06:00,"EP_Standard_C4484572",0-4,"Actions","EP_Landing",866,yes,"EP","Default zone"
2905,2023-03-02T10:46:03.666-06:00,"EP_Standard_C4484572",0-7,"Actions","EP_Landing",911,yes,"EP","Default zone"
8987,2023-03-02T10:46:09.748-06:00,"EP_Standard_C4484572",0-6,"Actions","EP_Login",1359,yes,"EP","Default zone"
9161,2023-03-02T10:46:09.922-06:00,"EP_Standard_C4484572",0-7,"Actions","EP_Login",1450,yes,"EP","Default zone"
9330,2023-03-02T10:46:10.091-06:00,"EP_Standard_C4484572",0-8,"Actions","EP_Login",1421,yes,"EP","Default zone"
